DATE              MARKET             SUBTOTAL        FINANCING
2025-01-01        COMMERCIAL            51330        72   
2025-01-02        COMMERCIAL            53060        84   
2025-01-03        CONSUMER             101540        72   
2025-01-04        COMMERCIAL           203390        72   
2025-01-05        COMMERCIAL            44420        84   
2025-01-06        CONSUMER              99930        72   
2025-01-07        CONSUMER              45420        72   
2025-01-08        CONSUMER              97830        60   
2025-01-09        COMMERCIAL            91720        36   
2025-01-10        CONSUMER              99030        72   
2025-01-11        CONSUMER              46010        48   
2025-01-12        CONSUMER             202100        48   
2025-01-13        CONSUMER              91750        60   
2025-01-14        COMMERCIAL            93580        60   
2025-01-15        CONSUMER             204010        84   
2025-01-16        CONSUMER             204460        36   
2025-01-17        CONSUMER              94650        60   
2025-01-18        COMMERCIAL            45450        48   
2025-01-19        COMMERCIAL           201150        60   
2025-01-20        COMMERCIAL            97630        36   
2025-01-21        CONSUMER              52480        72   
2025-01-22        COMMERCIAL            99620        84   
2025-01-23        CONSUMER              92270        36   
2025-01-24        CONSUMER              44200        72   
2025-01-25        CONSUMER              44570        48   
2025-01-26        COMMERCIAL            91050        60   
