DATE              MARKET            SUBTOTAL    FINANCING
2025-02-01        CONSUMER             92010    72   
2025-02-02        CONSUMER            100640    36   
2025-02-03        COMMERCIAL           92130    36   
2025-02-04        COMMERCIAL           51730    60   
2025-02-05        COMMERCIAL           93860    84   
2025-02-06        CONSUMER             90130    60   
2025-02-07        CONSUMER            101810    60   
2025-02-08        CONSUMER             99510    36   
2025-02-09        CONSUMER             97040    36   
2025-02-10        COMMERCIAL           91310    36   
2025-02-11        COMMERCIAL           45940    72   
2025-02-12        COMMERCIAL          200020    48   
2025-02-13        COMMERCIAL          202550    60   
2025-02-14        COMMERCIAL           53680    36   
2025-02-15        CONSUMER             46650    48   
2025-02-16        COMMERCIAL          200100    36   
2025-02-17        CONSUMER             45530    48   
2025-02-18        CONSUMER             52550    72   
2025-02-19        COMMERCIAL           44180    60   
2025-02-20        COMMERCIAL          204450    48   
2025-02-21        COMMERCIAL           53260    48   
2025-02-22        COMMERCIAL           98310    48   
2025-02-23        COMMERCIAL           44850    84   
2025-02-24        COMMERCIAL           93770    48   
2025-02-25        CONSUMER            201130    36   
2025-02-26        CONSUMER             93530    60   
